taxon,pl,pl2,L,W,T,biovol,size_class,shape,mobile,teratology,pioneer,adte,pedunc,pad,stalk,colonial,nonColonial,mucous,filament,zigzag,rosette,ribbon,stellate,arbuscular,high_profile,low_profile,motile
Cymbella cesatii,0,0,39,6,2.901709402,679,4,Omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella cf. Arctica,0,0,27,8,3.069444444,520,3,ellcyl,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella cistula,0,0,77.5,19,9,6626.25,5,box,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Cymbella cuspidata,0,0,27,8,3.069444444,520,3,ellcyl,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella cymbiformis,0,0,72.5,15,3.5,2987.90625,5,omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Cymbella descripta,0,0,27,8,3.069444444,520,3,ellcyl,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella ehrenbergii,0,0,137.5,34.5,5,18619,5,ellcyl,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Cymbella gaumannii,0,0,27,8,3.069444444,520,3,ellcyl,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella gracilis,0,0,35.5,6,2.5,418.0125,3,ellcyl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella hebridica,0,0,15,5.5,2.5,162,2,ellcyl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella incerta,0,0,28,8,3.102678571,695,4,ellcyl,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cymbella latens,0,0,15,5.5,2.5,162,2,ellcyl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella lunata,0,0,35.5,6,2.5,418,3,ellcyl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella microcephala,0,0,16.5,4,4.606060606,304,3,Omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella minuta,0,0,12.5,3.5,1.371428571,60,1,Omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella minuta var. silesiaca,0,0,29,8,3.538793103,821,4,Omnidia,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella naviculiformis,0,0,39,12.5,2.910769231,1419,4,omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella perpusilla,0,0,21,4,1,84,1,box,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella pusilla,0,0,27,8,3.069444444,520,3,ellcyl,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella silesiaca,0,0,29,8,3.538793103,821,4,Omnidia,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Cymbella sinuata,0,0,24.5,6.5,2.549450549,406,3,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Cymbella subaequalis,0,0,37,8.2,3.5,833.5915,4,ellcyl,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cymbella subaequalis var. oblonga,0,0,37,8.2,3.5,833.5915,4,ellcyl,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Denticula kuetzingii,0,0,28,5,2.407142857,337,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Denticula subtilis,0,0,13.5,2.5,2,67.5,1,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Denticula tenuis,0,0,28,5,2.407142857,337,3,omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Diatoma hiemale,0,0,40,10,4.73,1892,5,Omnidia,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Diatoma hiemale var. mesodon,0,0,40,10,4.73,1892,5,Omnidia,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Diatoma tenuis + D. moniliformis,0,0,24,3.5,3.607142857,303,3,Omnidia,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
Diploneis boldtiana,0,0,19,6,2,179,2,ellcyl,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Diploneis marginestriata,0,0,27.5,10.5,2.296103896,663,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Diploneis modica,0,0,18,9,2,254.34,2,ellcyl,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
